Universal Intention Arts, Silver Thunderous Starlight Style, Evil Authority Form: Butterfly
Adamantine Poisonous Disinterment Arts, Double Rolling Living Style, Ravenous Temper Form: Triple Breakout Resting Scale
Many Evil Asterism Arts, Retribution Style, Martial Tiger Form: Tang of Gust
Old Stunning Fang Arts, Azure Pounce Style, Graceful Shadowy Form: Illusion of the Tree
Spirit Unveiled Arts, Heavenly Tranquil Style, Unmatched Vigor Form: Splitting Substitution Linking Crushes
Mysterious Cold Aura Arts, Demon Style, Consuming Secret Titan Form: Five-Fold Whirlwind Descending Bolt
Vermillion Tablet Arts, Coral Basilisk Style, Holy Disinterment Form: Transformations Falling Principles
Abyssal Gentle Copper Pyrocascade Arts, Rising Nefarious Bow Style, Old Destroyer Form: Triple Parallel Emerging Perfusion
Rightful Balanced Latch Arts, Archery Style, Spectral Toil Form: Giant Zen-Taking South
Balanced Killing Drunken Mobility Arts, Wounding Rising Destroyer Style, Capped Skills Form: Shaolin of the Absolute Raptor
Deep Rocky Arts, Cutting Arrow Style, Destructive Triple Form: Temper of Basilisk
Iron Fairy Arts, Mystic Few Distinction Style, Gentle Halo Form: Guardian of Rage
Heavenly Break Arts, Elegant Mistveil Style, Primordial Ravenous Harmonies Form: Five-Fold Glide Reflecting Web
Snow Posture Arts, Spiritual Truth Style, Deep Frostbite Form: Throwing Nether
Sealing Dual Salvation Arts, Sonic Whale Style, Crossing Governing Manifestation Form: Aura of Rain
Abyssal Corvid Volley Arts, Wild Shatters Style, Fiery Rain Form: Piercer
Subduing Fiendish Elegant Sutra Arts, Obsidian Mountian Style, Old Secret Martyr Form: Gorge of Woods
Frosty Yin Arts, Evil Fleche Style, Unrestrained Form: Starvation
Obsidian Sun Arts, Fatal Imperial Snow Style, Few Meridian Form: Brush
Obsidian Penetrating Pure Lattice Arts, Polar Style, Limitless Killing Man Form: Six Taking Sweetened
Yellow Righteous Corvid Method Arts, Unmatched Cut Style, Repentant Saint Form: Sage Piercing Tongue
Expansive Finishing Splitting Hail Arts, Sweeping Subduing Surface Style, Martyr Form: Ruin of Circulation
Ascending Western Sand Arts, Undivinable Asterism Style, Shattering Sky Form: Giant Fury-Freezing Polar
Bronze Mist Arts, Unveiled Style, Devouring Subduing Dance Form: Triple Illusion Dispersing Cry
Petal Trill Arts, Illuminating Dual Blessed Style, Feral Essence Form: Grip of the Sutra
Solar Cosmic Storms Arts, Stroke Style, Crazy Opposition Form: Five-Fold Tang Controlling Fist
Outward Heavenly Commander Arts, Waning Mind Style, Surge Form: Rectitude
Soaring Scholar Arts, Traversing Blaze Style, Spiritual Sections Form: Illuminated-Summoning Repelling Creation
Corrupted Destructive Refraction Arts, Mysterious Flashes Style, Dual Triangle Form: Five-Fold Vedas Twisting Eagle
Radiant Wheel Arts, Devouring Devastation Style, Orthodox Form: Five-Fold Repents Resting Trial
Defensive Warrior Arts, Frozen Binder Style, Spirit Shard Form: Bound of the Onyx Rectitude
Equal Intoxicated Radiant Judgment Arts, Cavern Style, Nefarious Vajrayana Form: Myriads of the Veiled
Mighty Lattice Arts, Astral Perfusion Style, Countless Defiers Form: Ice-Tangled Spanning Return
Shooting Vile Order Arts, Kings Style, Quick Hidden Quell Form: Endless Pear Summoning Cross
North Lunar Wanderer Arts, Endless Severance Style, Frosty Wounding Instance Form: Palms of the Icy Song
Glacial Throw Arts, Ripping Augmented Brilliant Style, Fiery Rapid Form: Interference
Expansive Outward Blooming Vampire Arts, Cutting Tree Style, Crimson Waltz Form: Dual-Winds Vispering Scheme
Imperial Radiant Ghostly Poison Arts, Wicked Stretched Style, Encompassing Sonic Moonbeam Form: Triple Soul Linking Clarity
Living Coil Arts, Azure Gateways Style, Blessed Majestic Form: Scripture
Diving Circle Arts, Fatal Fiendish Swarm Style, Sonic Shroud Form: Coated Swords Crushing Jeweled
Calm Trinity Arts, Repentant Haunt Style, Traversing Piercer Form: Strikes of the Stunning Ghost
Serene Shaolin Arts, Erupting Crossing Dancing Style, Sanctity Form: Hands-Shifting Crazy Trill
Gentle Change Arts, Responsive Tearing Aura Style, Pear Form: Trail of the Total
Sealing Technique Arts, Quick Stalwart Style, Elegant Pinnacle Form: Ultimate Fist Covering Foundation
Ultimate Decree Arts, Summit Style, Interference Form: Triple Sanctum Confronting Necrotoxin
Poisonous Scriptures Arts, Elusive Formless Principles Style, Petal Thunderous Crows Form: Temple Following Element
Crazy Disciple Arts, Graceful Elemental Switch Style, Obscure Nature Form: Giant Star-Cleaving Vigor
Wicked Arhat Arts, Energy Style, Waning North Pierces Form: Dual-Volcanoes Surging Stream
Shooting Needle Arts, Living Toxin Style, Rising Avatar Form: White Strike
Mad Onyx Nebula Arts, Spirit Angel Style, Buddhist Copper Trap Form: Kick of the Rightful Halo
Felling Warmaster Arts, Quick Extinguishing Cutting Style, Sonata Form: Kill of the Center Earthquakes
Blooming Golden Vile Malignant Arts, Downward Spectral Rage Style, Tearing Swords Form: Darkwind of the Spirits
Elusive Glacial Poison Arts, Extreme Tranquil Style, Frosty Dawn Form: Lost
Waning Elder Arts, Augmented Army Style, Illusion Form: Six Paralyzing Remains
Many Night Arts, Unrivaled Equine Malevolent Style, Rolling Flames Form: Five-Fold Bite Falling Perfusion
Moonlit Siege Arts, Prelude Style, Burning Neck Form: Wild Taiji Ascending Asterism
Adamantine Feral Reaper Arts, Unmatched Drunken Elemental Style, Center Shroud Form: Prelude of the Outward Veil
Unforgiving West Arts, Single Chin Style, Enlightened Chackra Form: Spring of the Ice
Twin Barrage Arts, Fiendish Lower Dragontail Style, Aureate Gallant Sword Form: Dual-Soul Slicing Breaker
Outward Mysterious Sisi Arts, Silver Fiery Veil Style, Skeletal Scheme Form: Walk-Draining Endless Wraith
Devastating Western Luminous Reflection Arts, Few Gate Style, Fading Monkey Form: Stroke of Tong
Elegant Flesh Arts, Mystery Style, Smoke Form: Six Blazing Pillar
Icy Ghostly Fatal Winds Arts, Zen Style, Gentle Wall Form: Giant Origin-Gathering Vajrapani
Imperial Hellfire Arts, Hunyuan Style, Magnanimous Crazy Crow Form: Toxic Inferno Resonating Stretched
Blooming Exchange Arts, Liberated Bright Equal Style, Repentant Ink Form: Mirage Cyclone Rising Nullification
Indestructible Fleeting Statue Arts, Gem Dominating West Style, Forged Star Form: Riddle of the Sect
Devastating Lance Arts, Salvation Style, Felling Saint Form: Coil of Wanderer
Thunderous Unmatched Corvid Guard Arts, Solar Spinning Suffering Style, Few Mind Form: Crown of Windrider
Corvid Distinction Arts, Ghostly Exorcism Style, Vermillion Extra Saber Form: Onyx Disruption Feinting Scriptures
Protective Crash Arts, Jade North Continuous Style, Infusion Form: Triple Neck Descending Cobra
Graceful Stream Arts, Featherweight Crows Style, Living Perfusion Form: Final Judgment Sleeping Darkwind
Holy Empty Redemption Arts, Hidden Surface Style, Glide Form: Dual-Salvation Sharpening Dipper
Sacred Dew Arts, Sudden Tundra Style, Single Dividing Domination Form: Mad Sheet Following Stun
Cosmic Dipper Arts, Dancing Poisonous Equal Style, Leap Form: Southern Consciousness Flowing Bodhidharma
Old Riddle Arts, Brilliant Capped Unrivaled Style, Leaf Form: Giant Curse-Shaking Grove
Downward Possession Arts, Wandering Rage Style, Immortal Snow Precept Form: Triple Emptiness Gathering Spear
Subduing Nails Arts, Whirling Granite Style, Nebula Form: Holy Army Emerging Saint
Adamantine Vajrapani Arts, Echo Style, Feral Palm Form: White Whip Ensnaring Karmic
Tidal Aureate Emerald Things Arts, Demonic Road Style, Momentum Form: Downward Cry Revitalizing Self
Spanning Style Arts, Dark Mirror Style, Consuming Pines Form: Necrotoxin Shifting Mindscape
Brilliant Canyon Arts, Demonic Circle Style, Lunar Grafting Bodhi Form: Road-Feinting Dancing Palms
Perfect Cascade Arts, Spirit Buddhist Scheme Style, Skeletal Grafting Scale Form: Merciful Taming Binding Divinities
Aureate Infusion Arts, Advanced Dust Style, Downward Web Form: Hand of the Destruction
Rightful Moonlit Grappling Cutter Arts, Shooting Claw Style, Penetrating Sonic Plume Form: Strikes of the Autumn
Bloody Adaptive Sanctum Arts, Parallel Resonance Style, Invisible Enigma Form: Ravenous Sufferings
Bronze Barrier Arts, Aureate Brush Style, Brilliant Might Form: Five-Fold Prajna Ascending Staff
Twin Cavern Arts, Cawing Pure Demon Style, Augmented Double Man Form: Momentum of the Rightful Heritage
Thunderous South Arts, Liberated Red Mount Style, Venomous Substitution Form: Six Traversing Volcano
Grafting Sea Arts, Felling Suffering Style, Aquatic Possession Form: Enemies of the Stunning Warrior
Mysterious Enemy Arts, Unveiled Style, Nefarious Thunderbolt Form: Array of Distinction
Cutting Might Arts, Blooming Path Style, Serene Sound Form: Six Crushing Life
Golden Unrivaled Shattering Hunyuan Arts, Basic Pure Battalion Style, Limitless Chin Form: Giant Self-Tearing Tipsy
Solar Warfield Arts, Big Master Style, Advanced Royal Form: Six Reflecting Perfusion
Shooting Profound Sage Arts, Tranquil Style, Mirage Crusher Form: Dragontail
Sacred Paradise Arts, Legged Thunderbolts Style, True Roars Form: Triple Prayer Flying Torment
Governing Deep Kindled Arts, Vermillion Obscure Command Style, Radiant Bat Form: Intoxicated Deities Dodging Elbow
Ghostly Discipline Arts, Southern Eruption Style, Malevolent Infiltration Form: Dual-Net Airsplitting Flame
Venomous Ascending Mothers Arts, Stellar Shaft Style, Exploding Invisible Saber Form: Battle of the Taibai
Abyssal Augmented Rolling Slash Arts, Unparalleled Neck Style, Evil Suffering Form: Drift of Elegance
Giant United Arts, Waning Death Style, Double Needles Form: Illuminating Mountain
Advanced Dirty Toil Arts, Trap Style, Destructive Martyr Form: Delights of Myriads
Downward Cloud Arts, Shooting Pounce Style, Center Enlightened East Form: Dual-Nature Lunging Scholar
Flying Invisible Rampage Arts, Featherweight Immortal Pulse Style, Fertile Twin Infusion Form: Jewel Taking Cry
Corrupted Kick Arts, Current Rolling Gate Style, Ghostly Stun Form: Necrotoxin of Eagle
Unified Endless Shroud Arts, Balanced Crusher Style, Repents Form: Legacy of the Contemplate
Wicked Transparency Arts, Repelling Burning Blaze Style, Featherweight Disruption Form: Waxing Riddle
Flying Glacial Rampage Arts, Grand Repelling Defiers Style, Beasts Form: Spiritual Icebolt
Arching Prajna Arts, Nefarious Lord Style, Stunning Orthodox Form: Yin of the Breakthrough
Absolute Blazing Undivinable Emergence Arts, Midsummer Burst Style, Double Foundation Form: Blister
Traditional Enlightened Brook Arts, Void Bone Style, Poisons Form: Team of the Unmatched Kundali
Harmonious Malevolent Crows Arts, Merciful Final Protective Style, Aquatic Beasts Form: Dao of the Waltz
True Sufferings Arts, Living Great Wind Style, Nether Form: Harmonies-Twisting Undivinable Assaliants
Mystic Destructive Swing Arts, Mad Fate Style, Shower Form: Universal Pack
Unknowable Midsummer Spin Arts, Rising Nothingness Style, Mysterious Bind Form: Warrior Tangled Ruin
Double Southern Harmonious Otherness Arts, Taebaek Style, Full Disciple Form: Five-Fold Tea Walking Sisi
Dancing Thunderous Opening Arts, Bloodthristy Poisonous Roving Style, Sonic Flames Form: Gateways Following Emptiness
Waxing Graypine Arts, Treading Spirit Winds Style, Fading Lightweight Form: Dual-Taibai Airsplitting Hands
Sealing Azure Annihilation Arts, Corrupted Priest Style, Waning Fall Form: Shura-Poking Coastal Turtleback
Moonlit Breakout Arts, Thunderous Extended Luminous Style, Brilliant Volcanoes Form: Flying Phoenix Vispering Frontier
Equine Graypine Arts, Featherweight Prajna Style, Icy Subduing Fish Form: Five-Fold Woodland Commanding Suffering
Throwing Undivinable Prajna Arts, Balanced Rightful Extinguishing Style, Virtuous Script Form: Six Soothing Hunyuan
Skeletal Nape Arts, Aura Style, Holy Claw Form: Triple Ice Crouching Consonance
Luminous Thunderous Red Thundershock Arts, Harmonious Reguard Style, Universal Apex Bat Form: Dance of the Southern Shield
Deep Southern Lightness Arts, Giant Hidden Flames Style, Mental Form: Five-Fold Elements Soaring Traceless
Descending Dust Arts, Enlightened Buddha Style, Grounded Intention Form: Dual-Legacy Lunging Blister
Twin Spin Arts, Bronze Ancient Defense Style, Coastal Venom Form: Six Blowing Guardian
Astral Army Arts, Double Pure Heaven Style, Striking Blossoms Form: Necrotoxin of the Unknowable Trident
Solar Felling Element Arts, Assaliants Style, Dipper Form: Triple Glow Countering Windrider
Enlightened Frosty Black Leech Arts, Spectral Sweep Style, Fiery Reflection Form: Raven of the Shura
Righteous Walk Arts, Cinder Style, Single Wrath Form: Dual-Resonance Gathering Windrider
Crimson Long Arts, Facing Perfusion Style, Frozen Shattering Goldenring Form: Authority-Rising Abyssal Monk
Erupting Merciful Infinite Mountain Arts, Vitality Style, Toxic Chill Form: Giant Rectitude-Carrying Grasp
Slicing Jade United Arts, Riddle Style, Old Forged Stone Form: Six Tangled Chackra
Spirit Living Foundational Omnidirectional Arts, Dividing King Style, Single Weaver Form: Song of the Bird
Shadow Chackra Arts, Lunar Unified Old Style, Spectral Space Form: Giant Incineration-Flaming Crane
Traditional United Arts, Disruption Style, Felling Shadowy Form: Archery of Forms
Twin Gale Arts, Cursed Consecutive Diving Style, Full Pinnacle Form: Giant Scheme-Cutting Blossom
Boxing Wave Arts, Feral Zenith Style, Double Yin Form: Vajrapani
Immortal Origin Arts, Malevolent South Style, Demonic Wild Myriads Form: Giant Sutra-Stealing Truth
Crystalline Unknowable Living Maiden Arts, Extreme Proud Style, Grafting Commander Form: Triple Tranquil Linking Things
Divine Disruption Arts, Consecutive Cultivation Style, Shooting Noble Form: Cosmos Fighting Serpent
Vile Healing Long Arts, Cawing Illuminated Style, Repelling Flames Form: Giant Pattern-Poking Lofty
Old Smoke Arts, Burning Bat Style, Repelling Wrath Form: Marquis of the Death
Smashing Prelude Arts, Bird Style, Infernal Bind Form: Triple Transparency Severing Spark
Capped Dew Arts, Facing Self Style, Shade Form: Six Revitalizing Plague
Cosmic Fleche Arts, Mindscape Style, Hidden Snowfield Form: Unrivaled Duck
Yellow Reflect Arts, Legs Style, Skeletal Pearl Form: Wicked Reaper Freezing Heavenhold
Coated Frontier Arts, Enlightened Limbo Style, Illuminating Spear Form: Wood-Countering Hidden Sky
Corrupted Mighty Redemption Arts, Blazing Disruption Style, Double Mystery Form: Needles of the Style
Treading Monk Arts, Coastal Frenzy Style, Crazy Starlit Form: Finger of Tree
Obscure Sui Arts, Element Style, Sacred Living Snowfall Form: Five-Fold Jeweled Resisting Resonance
Apex Equine Ceremony Arts, Unrivaled Elusive Traceless Style, Stunning Astral Shockwave Form: Galaxy Swirling Phenomena
Fatal Book Arts, Kick Style, Elder Form: Serene Smoke Sacrificing Triple
Shadow Variation Arts, Equine Lance Style, Wicked Bodhi Form: Mothers of the Petal Asterism
Ripping Needles Arts, Absolute Dragontail Style, Rightful Palms Form: Triple Beasts Crushing Eclipse
Frozen Basic Marquis Arts, Infinite Dividing Consonance Style, Blessed Ultimate Whip Form: Lightweight-Fighting Mighty Bat
Treading Misty Arts, Lower Limitless Nefarious Style, Facing Team Form: Giant Bird
Crazy Snowlocked Arts, Bloodstained Tong Style, Diving Starlit Form: Gem Frontier
Pure Eagle Arts, Trail Style, Trill Form: Giant Ruin-Resonating Swords
Coastal Massacre Arts, Devouring Divine Wheel Style, Mad Bright Yang Form: Unified Road Ascending Penetration
Bloody Buddhist Lightning Arts, Chaotic Unmatched Dirty Style, Fate Form: Refraction
Killing March Arts, Shadow Azure Center Style, Repelling Nomad Form: Soar-Confronting Sweeping Fang
Capped Many Veil Arts, Legged Shooting Indestructible Style, Dominating Split Form: Darkwind of the Subduing Paladin
Exploding Single Spectral Scholar Arts, Living Drift Style, Unrivaled Hit Form: Six Airsplitting Aura
Southern Haunt Arts, Judgment Style, Dividing Rhythm Form: Volley of Wolf
Wandering Smashing Subduing Eternal Arts, Enlightened Extended Precept Style, Sudden Breakthrough Form: Necrotoxin of the Height
Frosty Stunning Sight Arts, Absolute Exploding Karma Style, Bloody Fog Form: Five-Fold Total Sleeping Realm
Adaptive Pack Arts, Authority Style, Pines Form: Mothers-Confronting Wandering Coil
Exploding Way Arts, Spiraling Pearlflower Style, Ascending Sanctum Form: Manipulation
Elemental Arrow Arts, Boxing Omnidirectional Style, Spearplay Form: Signless of the Advent
White Death Arts, Tearing Sight Style, Lunar Mighty Bodhi Form: Triple of the Mobility
Responsive Full Fleche Arts, Wildfire Style, Thunderbolts Form: Battle-Draining Facing Riddle
Eastern Extra Big Beast Arts, Wild Chaos Style, Serpent Form: Vibrant of Deities
Unforgiving Shadow Stellar Lightning Arts, Penetrating Trial Style, Cardinal Rapid Form: Madness of the Downward Script
Exploding Hoarforst Arts, Unparalleled Plume Style, Magnanimous Limbo Form: Yin-Counterattacking Extra Cloak
Grafting Comb Arts, Spiraling Astral Traceless Style, Vermillion Breakthrough Form: Netherworld Scorching Thousand
Heartless Brush Arts, Cursed Stretched Style, Warriors Form: Dual-Creation Surging Necrotoxin
Continuous Fatal Ember Arts, Wild Suppression Style, Venomous Malignant Form: Giant Scarlet-Leaping United
Hidden Severance Arts, Roars Style, Sweeping Emergence Form: Giant Meridian-Rises Slashes
Secret Infinite Shaolin Arts, Center Vine Style, Unified Self Form: Dual-Unbound Descending Nape
Flying Space Arts, Wandering Facing Downward Style, Lower Vine Form: Violent Spread
Formless Coil Arts, Empty Incineration Style, Extinguishing Scarlet Form: Beak Crushing Authority
Shadow Gallant Raven Arts, Felling Slash Style, Downward Split Form: Six Observing Vajrayana
Violent Noble Arts, Goldenring Style, Ancient Defiers Form: Triple Death Invigorating Execution
Fertile Storms Arts, Aureate Blessed Stretched Style, Absolute Consonance Form: Giant Punch-Dodging Gateways
Augmented Strikes Arts, Destructive Quick Style, Traceless Orthodox Form: Song
Healing Quake Arts, Roving Butterfly Style, Graceful Crusher Form: Deities-Grounding Sudden Master
Indestructible Turtleback Arts, Gentle Crown Style, Dominating Nullification Form: Thousands Observing Staff
Rising Fiend Arts, Rotation Style, Unmatched Jeweled Form: Hand of the Quick Pyre
Saving Featherweight Tidal Mindscape Arts, Facing Advanced Grace Style, Dark Spirits Form: Hellish Thrust Stealing Motion
Repentant Gentle Dance Arts, Scale Style, Violent Sonata Form: Deep Range Matching Orthodox
Magnanimous Spearplay Arts, Primordial Trill Style, Unshakable Adamantine Trinity Form: Taihua
Absolute Darkwind Arts, Ghostly Phenomena Style, Extended Curse Form: Balanced Frenzy
Eternal Strike Arts, Riding Violent Extinguishing Style, Temple Form: Unknowable Waves Summoning Water
Mysterious Boundless Lightness Arts, Icy Iron Torment Style, Forged Reflect Form: Rebounding Aura Traversing Cage
21st Divinities Arts, Elusive Motion Style, 82 Fold Brush Form: Equine Wrath
Final Trap Arts, Coastal Bind Style, Duck Form: Triple Vajrapani Feinting Shatter
Aureate Quick Sect Arts, Smashing Motion Style, Deep Authority Form: Heritage
Righteous Timberfall Arts, Birthless Bow Style, Ethereal Pulse Form: Whirlwind of the Parallel
Spectral Veiled Arts, Ripping Frozen Celestial Style, Striking Boundless Elegance Form: Giant Body-Binding Suppression
Fiendish Nether Arts, Lunar Kick Style, Stunning Shadowless Form: Palm-Piercing Ripping Manifestation
Slicing Lightweight Arts, Devastating Tongue Style, Feral Precept Form: Smashing Bow Freezing Lotus
Fiendish Rightful Infernal Fury Arts, South Style, Final Gentle Trail Form: Mothers-Surging Sudden Hail
Unshakable Trial Arts, Embracing Whirlwind Style, Hidden Unforgiving Underworld Form: Throw Rises Mindscape
Demonic Web Arts, Venomous Dividing Charging Style, Shooting Obsidian Lake Form: Walk of the Ocean
Foxform Dividing Waterfall Arts, Stab Style, Aureate Change Form: Hands of the Full Shapeshifter
Jade Noble Arts, Riddle Style, Old Dipper Form: Depth
Pure Fire Arts, Smashing Storms Style, Grounded Sacred Cut Form: Six Traversing Glide
Unknowable Drowned Arts, Spirits Style, Dominating Transformation Form: Reaction of the Extreme Claw
Eastern Destructive Technique Arts, Shattering Extreme Cold Style, Grace Form: Charging Throw
Descending Serpent Arts, Vedas Style, Downward Cultivation Form: Five-Fold Descent Flaming Sanctity
Center Ethereal Quartet Arts, Righteous Infinite Pearlflower Style, Slicing Authority Form: Dual-Dive Concealing Nether
Imperial Battlefield Arts, Resolve Style, Ravenous Wandering Chariot Form: Dual-Mastery Steeled Storm
Onyx Storms Arts,  Holy Road Style, Destructive Sanctity Form: Strength of the Phenomena
Radiant Move Arts, Treading Assaliants Style, Diving Lotus Form: Phenomena of the Merciful Leniency
Ascending Plate Arts, Limitless Nothingness Style, Spinning Rolling Cutter Form: Countless Mental Severing Spirits
Great Intention Arts, Forged Chop Style, Embracing Trap Form: Coral Spread
Liberated Needles Arts, Unrivaled Intoxicated Moonlit Style, Waning Bat Form: Five-Fold Surface Surging Gust
Shooting Switch Arts, Trio Style, Unified Death Form: Triple Vampire Dispersing Summit
Graceful Inferno Arts, Cold Countless Direction Style, Grand Creation Form: Triple Essence Weakening Madness
Spectral Illusory Cosmos Arts, Incineration Style, Wild Basilisk Form: Triple Force Traveling Bite
Gem Stretched Arts, Switch Style, Endless 18 Fold Void Form: Dual-Step Rises Statue
Roving Tree Arts, Fading Perfect Counter Style, Range Form: Weaver-Lunging Adaptive Substitution
Intoxicated Sweep Arts, Bloodstained Erupting Total Style, Void Mad Weaver Form: Space
Expansive Trio Arts, Extinguishing Traditional Refraction Style, Northern Saber Form: Execution-Dodging Evil Transformations
Ethereal Ultimate Nail Arts, Instance Style, Absolute Harvest Form: Fury of the Transformation
Ravenous Treading Poison Arts, Charging Swift Style, Moonlit Governing Horse Form: Roving Life Revitalizing Bound
Devouring Rebounding Mountain Arts, Ghostly Trial Style, Charging Dark Weaver Form: Ridge of the Cosmic Shroud
Shadow Poisonous Absolute Valley Arts, Dual Mount Style, Corvid Drop Form: Triple Triangle Revitalizing Rhythm
Buddhist Quick Merciful Flameball Arts, Celestial Master Style, Encompassing Otherness Form: Windrider of the Void Army
Mad Mystic Leniency Arts, Endless Titan Style, Earth Form: Giant Sound-Walking Stab
Feral Lunar Leniency Arts, Solar Exploding Massacre Style, Icy Formless Instance Form: Wood of the Mystic View
Waning Authority Arts, Dancing Depth Style, Poisonous Chain Form: Six Flowing Gate
Healing 36 Fold Undivinable Cyclone Arts, Quick Gallant Saber Style, Dual Fleeting Kaleidoscope Form: Distinction
Holy Fading Ceremony Arts, Celestial Mist Style, Big Destroyer Form: Distinction of the Shapeshifter
Charging Resonance Arts, Healing Roving Trinity Style, Countless Battalion Form: Pure Eclipse
Brilliant Limitless Secret Tide Arts, Vile Sutra Style, Facing Siege Form: Nomad of Arrows
Iron Reflection Arts, Striking Things Style, Blessed Substitution Form: Giant Domain-Paralizing Asura
Violent Transformation Arts, Jewel Style, Void Beam Form: Spiraling Fox
Ancient Scale Arts, Self Style, Stride Form: Triple Bow Aiming United
Southern Polarm Arts, Paladin Style, Unbounded Form: Vermillion Aspects
Frozen Leaf Arts, Icy Lance Style, Might Form: Five-Fold Tongue Lunging Daoist
Charging Vapor Arts, Jade Mirror Style, Equine Magnanimous Distinction Form: Poisonous Unveiled Countering Needles
Repentant Hexablaze Arts, Illusory Mind Style, Stunning Glide Form: Cobra of the Flight
Repelling Quick Unrestrained Arts, Return Style, Glacial Hunyuan Form: Scarlet of the Daoist
Single Nomad Arts, Throwing Magnanimous Warrior Style, Augmented Palm Form: Legged Cross Soothing Family
Crystalline Traceless Ultimate Heart Arts, Apex Lotus Style, Fish Form: Stalwart Carrying Swords
88 Fold Heaven Arts, Sacred Moon Style, Slicing Redemption Form: Formation of Harmonies
Final Meridian Arts, Blooming Encompassing Undivinable Style, Ravenous Archery Form: Rotation
Diving Raven Arts, Exploding Cutter Style, Switch Form: Triple Glow Confronting Strikes
Earthly Gallant Split Arts, Enlightened Parallel Crows Style, Dancing Gateways Form: Triple Exorcism Stealing Paladin
Jade Illusory Shroud Arts, Waxing Luminous Ripping Style, Pyre Form: Sharpened of Daoist
Slicing Intoxicated Charge Arts, True Nefarious Emerald Style, Wandering Scheme Form: Triple Breaker Paralizing Hit
Venomous Twin Temple Arts, Unforgiving Southern Ascending Style, Elusive Vibrant Form: Unrestrained-Carrying Aureate Mobility
Onyx Method Arts, Center Beast Style, Extended Possession Form: Prajna
Rising Cold Violent Summit Arts, Protective Constellation Style, Yellow Throwing Trigrams Form: Yang Poking Blood
Augmented Equine Slicing Crown Arts, Consuming Fox Style, Perfect Hellfire Form: Reaction of the Kings
Full Shadow Serene Cage Arts, Hydra Style, Devouring Advanced Touch Form: Giant Acala-Traversing Parallel
Old Shooting Lower Strength Arts, Charging Glacial Rising Style, Ultimate Polearm Form: Taibai of Opening
Traditional Defense Arts, 13 Fold Wandering Might Style, Karmic Form: Dual-Starlit Ensnaring Triangle
Universal Grasp Arts, Grip Style, Onyx Scale Form: Giant Starvation-Soothing Tipsy
Wounding Universal Wrath Arts, Unknowable Sealing Spiritual Style, Roving Shatter Form: Five-Fold Pounce Gathering Arm
Indestructible Mystic Wicked Overwash Arts, Final Graceful Spiraling Style, Toxic March Form: Stroke Revitalizing Netherworld
Enlightened Echo Arts, Serene Fire Style, Red Slayer Form: Mirage Prajna
Mysterious Sharpened Arts, Empty Heat Style, Stellar Heritage Form: Infinite Leniency
Harmonious Merciful Exploding River Arts, Ripple Style, Equine Song Form: Madness of Trio
Center Cloak Arts, Reflection Style, Extended Smoke Form: Fleche Revitalizing Tail
Obscure Icebolt Arts, Dark Court Style, Meditation Form: Duck of Pattern
101st Valley Arts, Rotation Style, Devouring Scripture Form: Wing of Lord
Burning Truth Arts, Single Shatter Style, Invisible Hell Form: Opening Dispersing Flames
Thunderous Crows Arts, Pulse Style, Stellar Self Form: Five-Fold Taibai Attacking Way
Absolute Chackra Arts, Thunderwake Style, Exploding Embrace Form: Giant Lightning-Burning Slayer
Penetrating Basic Nefarious Bound Arts, Primordial Shattering Sweeping Style, Aquatic Undivinable Soul Form: Five-Fold Distinction Unwavering Spin
Divine Blossom Arts, Sufferings Style, Quick Mirror Form: Sage of the Cultivation
Balanced Flames Arts, Dominating Cremation Style, Lightness Form: Dual-Devil Lunging Path
Azure Thunderous Cosmic Poison Arts, Ink Style, Chariot Form: Crown of the Ursine
Throwing Starvation Arts, Final Finishing Ascending Style, Poisonous Obscure Firebrand Form: Rhythm of the Heartless Discipline
Tidal Great Ghost Arts, Defensive Saving Equine Style, Waxing Double Intention Form: Aegis-Sacrificing Responsive Monk
Shadow Undivinable Palm Arts, Disinterment Style, Center Thirst Form: Triple Harmonies Cutting Judgment
Gentle Sonic Wheel Arts, Ethereal Heartless Disruption Style, Stellar Felling Dust Form: Giant Quartet-Rising Toss
Capped Extended Illuminating Haunt Arts, Crusher Style, Heartless Phaseless Form: Total Resonating Spiritage
Unified Expansive Poison Arts, Grand Night Style, Heavenly Toil Form: Sacred Infiltration Weakening Grasp
Grafting Swords Arts, Metallic Buddhist Saint Style, Snakeform Form: Giant Poison-Lunging Truth
Buddhist Rapid Arts, Cutting Thousand Style, Descending Quake Form: Paladin of Devil
Radiant Soaring Cinder Arts, Lower Karma Style, Formless Lance Form: Giant Road-Controlling Turtleback
Celestial Delights Arts, Living Taibai Style, Profound Tigers Form: Triple Unity Matching Spear
Eternal Final Exploding Disciple Arts, Expansive Legged Domain Style, Capped Posture Form: Five-Fold Swords Revitalizing Distinction
Dividing Riding Reguard Arts, Metallic Feral Skill Style, Extinguishing Pure Technique Form: Primordial Assaliants Traversing Patriarch
Absolute Ghostly Mighty Trial Arts, Cutting Bodhi Style, Illuminating Seeds Form: Thoughtless of Counter
Rightful Daybreak Arts, Aureate Nail Style, Continuous Cloak Form: Resonance of the Righteous Thaw
Spirit Stretched Arts, Coral Wicked Roving Style, Destructive Mental Form: Raptor
Apex Reflection Arts, Metallic Clarity Style, Long Form: Cut-Taking Imperial Breakout
